step,Overall,Code,Math,Complexity,Creativity,Problem Solving
500,1051.8441781085407,883.7895418522194,956.8821364215552,914.5013152524065,931.7102284945606,936.7432438356706
1000,956.1525687182126,857.7550432097514,939.4971395626532,902.7660713809295,897.6179876428678,919.8058993144807
2000,999.8083651561499,837.4707573301545,921.8092069287264,877.5086887503815,866.7617480427541,890.1870456046599
3000,936.4179074119436,830.166396726846,943.8397336426715,893.5688193751745,860.494702917621,887.2565259146683
4000,1018.5006430997971,858.5621586189538,981.0243362737219,923.2045672998922,892.5177844299672,916.9028114463854
5000,937.5167758309924,840.7493931103014,942.1252725725071,894.1329068863088,869.618564914326,894.1454515187282
7000,942.6546780393555,862.78079002769,964.9903072669807,919.0284556679046,917.4010423441629,925.0898170388402
8000,914.9619003378878,818.3809060208723,893.6144868627014,863.510231874216,885.7501323223557,887.3262729053737
11000,919.9747655934086,853.3589064795499,982.5179418194668,928.6383933443715,904.1548932901153,918.9926424020663
13000,1008.4974070038606,873.0022117627474,969.8006430787307,925.3806745202412,916.7796528975643,928.1085561225576
15000,952.9983435308361,865.9884489412503,942.9078530221568,908.891839867201,906.5229531029506,915.3878402563994
17000,970.0233440318652,849.8137942753947,960.610306884732,913.5068483706089,898.4751803483762,922.0333764117902
19000,946.8568894523893,866.3845218130667,995.2867083491325,946.4210175733451,938.0712037926817,948.672074379637
21000,987.2574544745348,876.3862422893311,971.238419603144,929.0219085809371,919.0108461787961,935.3218945334349
24000,1012.6269334410836,905.2613176281978,977.8904125759587,951.4492895798661,960.2991560366861,959.5970775259514
27000,984.3174782203439,890.9196338278947,987.150327193026,941.0880593884303,948.977763376186,944.5030134828409
31000,946.8002777976984,897.0536344880527,999.6273588479293,959.3590474016133,963.4059835033913,962.4591702097999
34000,964.309599076147,898.3755694922795,985.108113529666,951.602032994637,973.0880776987473,965.4838670899135
38000,965.385790105325,903.3437355013994,988.2105977204183,946.8234522084755,971.4116084164614,967.2822648866115
42856,953.8837880571582,904.9466324386191,987.675189264768,954.8424287107002,969.3719883251439,968.6593025061109
