step,dataset,eval_mode,swap_mode,metric,value,baseline_value,num_battles
1000,alpaca-eval,rubric,fixed,rubric_composite,0.8571,0.8873,50000
1000,alpaca-eval,rubric,fixed,rubric_instruction_following,5.6832,5.9366,50000
1000,alpaca-eval,rubric,fixed,rubric_naturalness,6.8634,6.9379,50000
1000,alpaca-eval,rubric,fixed,rubric_coherence,6.4236,6.5205,50000
1000,alpaca-eval,rubric,fixed,rubric_accuracy,5.6012,5.8994,50000
1000,arena-hard,rubric,fixed,rubric_composite,0.7553,0.8153,50000
1000,arena-hard,rubric,fixed,rubric_instruction_following,4.9279,5.404,50000
1000,arena-hard,rubric,fixed,rubric_naturalness,6.7956,6.916,50000
1000,arena-hard,rubric,fixed,rubric_coherence,5.8818,6.16,50000
1000,arena-hard,rubric,fixed,rubric_accuracy,4.523,5.088,50000
1000,alpaca-eval,winrate,both,winrate,0.4255,0.5745,1610
1000,arena-hard,winrate,both,winrate,0.353,0.647,1000
1000,alpaca-eval,winrate,fixed,winrate,0.3783,0.6217,805
1000,arena-hard,winrate,fixed,winrate,0.339,0.661,500
2000,alpaca-eval,rubric,fixed,rubric_composite,0.8843,0.8859,50000
2000,alpaca-eval,rubric,fixed,rubric_instruction_following,5.9193,5.9242,50000
2000,alpaca-eval,rubric,fixed,rubric_naturalness,6.9404,6.9379,50000
2000,alpaca-eval,rubric,fixed,rubric_coherence,6.5155,6.5304,50000
2000,alpaca-eval,rubric,fixed,rubric_accuracy,5.8472,5.8696,50000
2000,arena-hard,rubric,fixed,rubric_composite,0.8151,0.8205,50000
2000,arena-hard,rubric,fixed,rubric_instruction_following,5.3936,5.424,50000
2000,arena-hard,rubric,fixed,rubric_naturalness,6.9116,6.94,50000
2000,arena-hard,rubric,fixed,rubric_coherence,6.1847,6.236,50000
2000,arena-hard,rubric,fixed,rubric_accuracy,5.0723,5.092,50000
2000,alpaca-eval,winrate,both,winrate,0.4714,0.5286,1610
2000,arena-hard,winrate,both,winrate,0.5025,0.4975,1000
2000,alpaca-eval,winrate,fixed,winrate,0.4615,0.5385,805
2000,arena-hard,winrate,fixed,winrate,0.425,0.575,500
3000,alpaca-eval,rubric,fixed,rubric_composite,0.8881,0.8913,50000
3000,alpaca-eval,rubric,fixed,rubric_instruction_following,5.9043,5.9527,50000
3000,alpaca-eval,rubric,fixed,rubric_naturalness,6.9627,6.9502,50000
3000,alpaca-eval,rubric,fixed,rubric_coherence,6.5404,6.5771,50000
3000,alpaca-eval,rubric,fixed,rubric_accuracy,5.9068,5.9104,50000
3000,arena-hard,rubric,fixed,rubric_composite,0.8398,0.8263,50000
3000,arena-hard,rubric,fixed,rubric_instruction_following,5.576,5.496,50000
3000,arena-hard,rubric,fixed,rubric_naturalness,6.932,6.908,50000
3000,arena-hard,rubric,fixed,rubric_coherence,6.356,6.252,50000
3000,arena-hard,rubric,fixed,rubric_accuracy,5.292,5.176,50000
3000,alpaca-eval,winrate,both,winrate,0.4745,0.5255,1610
3000,arena-hard,winrate,both,winrate,0.5545,0.4455,1000
3000,alpaca-eval,winrate,fixed,winrate,0.4578,0.5422,805
3000,arena-hard,winrate,fixed,winrate,0.463,0.537,500
3252,alpaca-eval,rubric,fixed,rubric_composite,0.8906,0.8865,50000
3252,alpaca-eval,rubric,fixed,rubric_instruction_following,5.9441,5.9378,50000
3252,alpaca-eval,rubric,fixed,rubric_naturalness,6.9702,6.9328,50000
3252,alpaca-eval,rubric,fixed,rubric_coherence,6.5727,6.5149,50000
3252,alpaca-eval,rubric,fixed,rubric_accuracy,5.887,5.8905,50000
3252,arena-hard,rubric,fixed,rubric_composite,0.827,0.8153,50000
3252,arena-hard,rubric,fixed,rubric_instruction_following,5.496,5.404,50000
3252,arena-hard,rubric,fixed,rubric_naturalness,6.904,6.916,50000
3252,arena-hard,rubric,fixed,rubric_coherence,6.324,6.16,50000
3252,arena-hard,rubric,fixed,rubric_accuracy,5.124,5.088,50000
3252,alpaca-eval,winrate,both,winrate,0.4882,0.5118,1610
3252,arena-hard,winrate,both,winrate,0.5275,0.4725,1000
3252,alpaca-eval,winrate,fixed,winrate,0.4516,0.5484,805
3252,arena-hard,winrate,fixed,winrate,0.462,0.538,500
