step,eval_mode,swap_mode,dataset,model_A_composite,model_B_composite,model_A_mean,model_B_mean,model_A_instruction_following,model_B_instruction_following,model_A_naturalness,model_B_naturalness,model_A_coherence,model_B_coherence,model_A_accuracy,model_B_accuracy,winrate,num_wins,num_losses,num_ties,num_battles
500,rubric,fixed,alpaca-eval,0.9354037267080745,0.906392694063927,6.6124223602484475,6.438356164383562,6.42111801242236,6.1506849315068495,6.811180124223602,6.75840597758406,6.709316770186335,6.539227895392279,6.508074534161491,6.305105853051058,,,,,
500,rubric,fixed,arena-hard,0.8607214428857716,0.7785,6.16432865731463,5.671,5.829659318637274,5.188,6.547094188376754,6.332,6.318637274549098,5.868,5.961923847695391,5.296,,,,,
500,winrate,both,alpaca-eval,,,,,,,,,,,,,0.5922360248447205,950,653,7,1610
500,winrate,both,arena-hard,,,,,,,,,,,,,0.6755,674,323,3,1000
500,winrate,fixed,alpaca-eval,,,,,,,,,,,,,0.9006211180124224,724,79,2,805
500,winrate,fixed,arena-hard,,,,,,,,,,,,,0.866,432,66,2,500
1000,rubric,fixed,alpaca-eval,0.9396766169154229,0.8797678275290216,6.638059701492537,6.278606965174129,6.445273631840796,6.007462686567164,6.845771144278607,6.621890547263682,6.718905472636816,6.340796019900497,6.54228855721393,6.144278606965174,,,,,
1000,rubric,fixed,arena-hard,0.8607214428857716,0.7815,6.16432865731463,5.689,5.829659318637274,5.288,6.547094188376754,6.272,6.318637274549098,5.808,5.961923847695391,5.388,,,,,
1000,winrate,both,alpaca-eval,,,,,,,,,,,,,0.6338509316770187,1017,586,7,1610
1000,winrate,both,arena-hard,,,,,,,,,,,,,0.689,688,310,2,1000
1000,winrate,fixed,alpaca-eval,,,,,,,,,,,,,0.9192546583850931,739,64,2,805
1000,winrate,fixed,arena-hard,,,,,,,,,,,,,0.853,426,73,1,500
2000,rubric,fixed,alpaca-eval,0.9354037267080745,0.8721532091097309,6.6124223602484475,6.232919254658385,6.42111801242236,5.956521739130435,6.811180124223602,6.60248447204969,6.709316770186335,6.259627329192546,6.508074534161491,6.113043478260869,,,,,
2000,rubric,fixed,arena-hard,0.8607214428857716,0.766,6.16432865731463,5.596,5.829659318637274,5.116,6.547094188376754,6.244,6.318637274549098,5.752,5.961923847695391,5.272,,,,,
2000,winrate,both,alpaca-eval,,,,,,,,,,,,,0.6468944099378882,1040,567,3,1610
2000,winrate,both,arena-hard,,,,,,,,,,,,,0.6795,678,319,3,1000
2000,winrate,fixed,alpaca-eval,,,,,,,,,,,,,0.9142857142857143,735,68,2,805
2000,winrate,fixed,arena-hard,,,,,,,,,,,,,0.868,433,65,2,500
3000,rubric,fixed,alpaca-eval,0.9285714285714286,0.8700828157349896,6.571428571428571,6.220496894409938,6.373913043478261,5.991304347826087,6.768944099378882,6.550310559006212,6.6472049689440995,6.301863354037267,6.495652173913044,6.038509316770186,,,,,
3000,rubric,fixed,arena-hard,0.859,0.7668670674682699,6.154,5.601202404809619,5.836,5.096192384769539,6.532,6.210420841683367,6.292,5.813627254509018,5.956,5.284569138276553,,,,,
3000,winrate,both,alpaca-eval,,,,,,,,,,,,,0.6127329192546583,984,621,5,1610
3000,winrate,both,arena-hard,,,,,,,,,,,,,0.687,684,310,6,1000
3000,winrate,fixed,alpaca-eval,,,,,,,,,,,,,0.8925465838509317,718,86,1,805
3000,winrate,fixed,arena-hard,,,,,,,,,,,,,0.856,427,71,2,500
4000,rubric,fixed,alpaca-eval,0.9273291925465839,0.8875776397515528,6.563975155279503,6.3254658385093165,6.368944099378882,6.080745341614906,6.771428571428571,6.582608695652174,6.6472049689440995,6.416149068322981,6.46832298136646,6.222360248447205,,,,,
4000,rubric,fixed,arena-hard,0.8607214428857716,0.79124916499666,6.16432865731463,5.74749498997996,5.829659318637274,5.3687374749499,6.547094188376754,6.258517034068136,6.318637274549098,5.925851703406813,5.961923847695391,5.43687374749499,,,,,
4000,winrate,both,alpaca-eval,,,,,,,,,,,,,0.5863354037267081,941,663,6,1610
4000,winrate,both,arena-hard,,,,,,,,,,,,,0.6475,646,351,3,1000
4000,winrate,fixed,alpaca-eval,,,,,,,,,,,,,0.9043478260869565,727,76,2,805
4000,winrate,fixed,arena-hard,,,,,,,,,,,,,0.831,414,83,3,500
5000,rubric,fixed,alpaca-eval,0.9202898550724639,0.8782608695652174,6.521739130434782,6.269565217391304,6.311801242236025,5.9962732919254655,6.724223602484472,6.60248447204969,6.60248447204969,6.339130434782609,6.448447204968944,6.140372670807453,,,,,
5000,rubric,fixed,arena-hard,0.8530789825970548,0.7796666666666666,6.118473895582329,5.678,5.795180722891566,5.212,6.518072289156627,6.2,6.2730923694779115,5.872,5.887550200803213,5.428,,,,,
5000,winrate,both,alpaca-eval,,,,,,,,,,,,,0.6180124223602484,992,612,6,1610
5000,winrate,both,arena-hard,,,,,,,,,,,,,0.647,645,351,4,1000
5000,winrate,fixed,alpaca-eval,,,,,,,,,,,,,0.9298136645962732,747,55,3,805
5000,winrate,fixed,arena-hard,,,,,,,,,,,,,0.845,421,76,3,500
7000,rubric,fixed,alpaca-eval,0.9321946169772256,0.8962732919254658,6.593167701863354,6.377639751552795,6.386335403726708,6.147826086956521,6.808695652173913,6.64472049689441,6.6745341614906835,6.485714285714286,6.503105590062112,6.232298136645963,,,,,
7000,rubric,fixed,arena-hard,0.859,0.798430193720775,6.154,5.790581162324649,5.836,5.412825651302605,6.532,6.350701402805611,6.292,5.961923847695391,5.956,5.43687374749499,,,,,
7000,winrate,both,alpaca-eval,,,,,,,,,,,,,0.5645962732919255,906,698,6,1610
7000,winrate,both,arena-hard,,,,,,,,,,,,,0.609,607,389,4,1000
7000,winrate,fixed,alpaca-eval,,,,,,,,,,,,,0.8795031055900621,706,95,4,805
7000,winrate,fixed,arena-hard,,,,,,,,,,,,,0.843,419,76,5,500
8000,rubric,fixed,alpaca-eval,0.9279503105590062,0.8900290215588723,6.567701863354038,6.340174129353234,6.363975155279503,6.099502487562189,6.803726708074534,6.614427860696518,6.6397515527950315,6.432835820895522,6.463354037267081,6.213930348258707,,,,,
8000,rubric,fixed,arena-hard,0.859,0.7973333333333333,6.154,5.784,5.836,5.408,6.532,6.292,6.292,5.936,5.956,5.5,,,,,
8000,winrate,both,alpaca-eval,,,,,,,,,,,,,0.6204968944099379,997,609,4,1610
8000,winrate,both,arena-hard,,,,,,,,,,,,,0.653,651,345,4,1000
8000,winrate,fixed,alpaca-eval,,,,,,,,,,,,,0.9142857142857143,735,68,2,805
8000,winrate,fixed,arena-hard,,,,,,,,,,,,,0.861,428,67,5,500
11000,rubric,fixed,alpaca-eval,0.9355072463768116,0.9062111801242236,6.613043478260869,6.437267080745341,6.458385093167702,6.24472049689441,6.806211180124223,6.6720496894409935,6.6770186335403725,6.522981366459628,6.51055900621118,6.309316770186335,,,,,
