experiment,step,dataset,eval_mode,language,metric,value,num_battles
A1-90en,238,m-arena-hard-EU,winrate,cs,winrate,0.745,500
A1-90en,238,m-arena-hard-EU,winrate,de,winrate,0.657,500
A1-90en,238,m-arena-hard-EU,winrate,el,winrate,0.543,500
A1-90en,238,m-arena-hard-EU,winrate,en,winrate,0.149,500
A1-90en,238,m-arena-hard-EU,winrate,es,winrate,0.657,500
A1-90en,238,m-arena-hard-EU,winrate,fr,winrate,0.498,500
A1-90en,238,m-arena-hard-EU,winrate,it,winrate,0.551,500
A1-90en,238,m-arena-hard-EU,winrate,nl,winrate,0.673,500
A1-90en,238,m-arena-hard-EU,winrate,pl,winrate,0.606,500
A1-90en,238,m-arena-hard-EU,winrate,pt,winrate,0.629,500
A1-90en,238,m-arena-hard-EU,winrate,ro,winrate,0.648,500
A1-90en,238,m-arena-hard-EU,winrate,uk,winrate,0.511,500
A2-80en,228,m-arena-hard-EU,winrate,cs,winrate,0.762,500
A2-80en,228,m-arena-hard-EU,winrate,de,winrate,0.685,500
A2-80en,228,m-arena-hard-EU,winrate,el,winrate,0.485,500
A2-80en,228,m-arena-hard-EU,winrate,en,winrate,0.139,500
A2-80en,228,m-arena-hard-EU,winrate,es,winrate,0.722,500
A2-80en,228,m-arena-hard-EU,winrate,fr,winrate,0.498,500
A2-80en,228,m-arena-hard-EU,winrate,it,winrate,0.585,500
A2-80en,228,m-arena-hard-EU,winrate,nl,winrate,0.651,500
A2-80en,228,m-arena-hard-EU,winrate,pl,winrate,0.634,500
A2-80en,228,m-arena-hard-EU,winrate,pt,winrate,0.696,500
A2-80en,228,m-arena-hard-EU,winrate,ro,winrate,0.655,500
A2-80en,228,m-arena-hard-EU,winrate,uk,winrate,0.503,500
A3-70en,216,m-arena-hard-EU,winrate,cs,winrate,0.757,500
A3-70en,216,m-arena-hard-EU,winrate,de,winrate,0.71,500
A3-70en,216,m-arena-hard-EU,winrate,el,winrate,0.471,500
A3-70en,216,m-arena-hard-EU,winrate,en,winrate,0.129,500
A3-70en,216,m-arena-hard-EU,winrate,es,winrate,0.722,500
A3-70en,216,m-arena-hard-EU,winrate,fr,winrate,0.521,500
A3-70en,216,m-arena-hard-EU,winrate,it,winrate,0.599,500
A3-70en,216,m-arena-hard-EU,winrate,nl,winrate,0.676,500
A3-70en,216,m-arena-hard-EU,winrate,pl,winrate,0.67,500
A3-70en,216,m-arena-hard-EU,winrate,pt,winrate,0.7,500
A3-70en,216,m-arena-hard-EU,winrate,ro,winrate,0.616,500
A3-70en,216,m-arena-hard-EU,winrate,uk,winrate,0.511,499
